log10(Age / yr),age,cx,cy,cz,redshift,MWfactor,starfLogMass,ra,dec,lookback_time,radius,colour,img,ModelMag_i,ModelMag_g
9.91296,8.18,0.998837,-0.04593,-0.014663,0.199728,99,11.3,9.33191,-0.46296,2.510845,1.015,1,0,20.98936,22.25063
9.27549,1.89,-0.978969,-0.202084,0.027955,0.047993,0.11,10.03,9.33008,-0.62412,0.670016,0.8245,1,1,15.98617,17.26677
-999,0.00,-0.767729,-0.636764,0.071587,0.061146,0.11,10.05,9.4321,-0.24518,0.845679,0.8275,0,2,16.22529,17.78992
-999,0.00,-0.44552,0.55969,0.698755,0.04507,0.24,10.38,9.40915,-0.25006,0.63052,0.877,1,3,15.82983,17.22526
-999,0.00,-0.993352,-0.087802,0.074454,0.077901,0.43,10.63,9.36047,-0.21284,1.064711,0.9145,1,4,15.76165,17.02357
-999,0.00,-0.895777,0.43225,0.103648,0.062674,0.22,10.35,9.35193,-0.15962,0.865876,0.8725,1,5,15.97378,17.26943
9.98152,9.58,-0.519278,-0.396151,0.757242,0.073604,0.87,10.94,9.45203,-0.10527,1.009035,0.961,1,6,15.64237,16.91365
9.21815,1.65,-0.620714,0.773803,0.126266,0.072851,0.19,10.28,9.47772,-0.13183,0.999241,0.862,1,7,15.9902,17.29511
-999,0.00,-0.518296,-0.173378,0.837442,0.079055,0.2,10.31,9.47711,-0.09773,1.079613,0.8665,1,8,15.96004,17.26823
-999,0.00,-0.642852,-0.375472,0.667654,0.095549,0.21,10.32,9.43183,-0.01984,1.289837,0.868,1,9,15.7949,17.06615
8.7156,0.52,-0.488787,-0.669409,0.559445,0.057305,0.3,10.47,9.36101,0.01062,0.794714,0.8905,0,10,16.30756,17.81543
-999,0.00,-0.715189,0.159844,0.680408,0.061309,0.68,10.83,9.40693,0.07971,0.847837,0.9445,0,11,16.02259,17.66574
9.5253,3.35,-0.686468,-0.085171,0.722154,0.05939,0.1,9.99,9.47029,0.02447,0.82242,0.8185,1,12,15.61208,16.79732
-999,0.00,-0.527753,-0.663101,0.530824,0.10665,0.32,10.5,9.20517,-0.1286,1.428591,0.895,1,13,16.28251,17.67609
9.85029,7.08,-0.510191,-0.692995,0.509375,0.056074,0.27,10.43,9.2029,-0.27928,0.778331,0.8845,0,14,16.30551,17.72408
9.24365,1.75,-0.445882,-0.755449,0.48009,0.073605,0.18,10.26,9.2734,-0.24596,1.009051,0.859,0,15,16.31916,17.80897
9.8912,7.78,-0.511386,-0.622885,0.59203,0.065439,0.26,10.41,9.22266,-0.4305,0.902294,0.8815,1,16,15.91806,17.21005
9.67684,4.75,-0.746925,0.180288,0.64,0.080768,0.18,10.25,9.20914,-0.2566,1.101678,0.8575,1,17,15.77866,17.00965
9.4846,3.05,-0.71881,-0.235695,0.654034,0.067544,0.15,10.17,9.15019,-0.23311,0.929932,0.8455,1,18,15.8584,17.05387
-999,0.00,-0.469441,-0.691558,0.548974,0.053461,0.24,10.38,9.15698,-0.29166,0.743444,0.877,1,19,15.75114,17.04905
9.99928,9.98,-0.424974,0.848737,0.314712,0.055559,0.22,10.35,9.15804,-0.06463,0.771465,0.8725,1,20,16.02369,17.35365
9.84412,6.98,-0.541501,0.710836,0.448875,0.057098,0.13,10.12,9.15802,-0.02869,0.791962,0.838,1,21,15.62422,16.91251
9.95345,8.98,-0.962502,0.164569,0.215655,0.084025,0.5,10.7,9.15508,-0.09157,1.14347,0.925,1,22,15.67535,16.95048
9.72303,5.28,-0.976099,0.074265,0.204242,0.083079,1.02,11.01,9.35861,0.07186,1.131353,0.9715,1,23,15.96909,17.34361
-999,0.00,-0.980604,0.156834,0.117551,0.074477,0.28,10.44,9.18926,-0.50637,1.020383,0.886,0,24,15.98196,17.37953
8.9939,0.99,-0.301734,0.713066,0.632845,0.085364,0.24,10.38,8.9232,-1.14865,1.160601,0.877,1,25,15.5918,16.92634
9.7547,5.68,-0.586566,0.798289,0.136657,0.065461,0.02,9.39,8.90787,-1.09635,0.902583,0.7285,2,26,16.86002,17.60932
9.68289,4.82,-0.566875,0.695455,0.441583,0.05328,0.26,10.41,8.927,-1.0206,0.741024,0.8815,1,27,15.75676,17.01857
9.59312,3.92,-0.536824,0.774433,0.334773,0.043466,0.08,9.92,9.06437,-0.89434,0.608783,0.808,1,28,16.15847,17.5321
9.80285,6.35,-0.856925,0.211734,0.469946,0.310237,0.89,10.95,9.09835,-0.71529,3.628382,0.9625,0,29,17.74486,20.05102
8.83641,0.69,-0.874008,-0.043532,0.483958,0.08262,0.17,10.24,9.21741,-0.75629,1.125462,0.856,1,30,15.69882,16.86961
9.77703,5.98,-0.83839,0.231508,0.493463,0.071268,0.21,10.32,9.26336,-0.78754,0.978621,0.868,1,31,15.7569,17.05689
9.7913,6.18,-0.866672,0.308629,0.391953,0.044576,0.19,10.27,8.95834,-0.63782,0.623836,0.8605,1,32,15.75974,16.97489
-999,0.00,-0.946391,0.152997,0.284494,0.082336,0.25,10.39,8.9517,-0.56782,1.121825,0.8785,1,33,15.51665,16.74068
-999,0.00,-0.461953,-0.86089,0.213231,0.063136,0.29,10.46,8.98474,-0.54365,0.871963,0.889,1,34,16.10835,17.4739
-999,0.00,-0.794475,0.541952,0.274041,0.042282,0.05,9.71,9.09552,-0.42753,0.5927,0.7765,1,35,15.72719,16.94295
